,ein,name,ico,street,city,state,zip,group,subsection,affiliation,classification,ruling,deductibility,foundation,activity,organization,status,tax_period,asset_cd,income_cd,filing_req_cd,pf_filing_req_cd,acct_pd,asset_amt,income_amt,revenue_amt,ntee_cd,sort_name
0,10216328,EVERGREEN CREDIT UNION,% TUCKER COLE,PO BOX 1038,PORTLAND,ME,04104-1038,0,14,3,1000,196911,2,0,921922000,5,1,201912.0,9,8,1,0,12,315745025.0,16124008.0,16124008.0,,
1,10261000,STATE CHARTERED CREDIT UNIONS IN MAINE,% TIFFINY C STEWART,PO BOX 250,SABATTUS,ME,04280-0250,0,14,3,1000,196911,2,0,921922000,5,1,201912.0,9,6,1,0,12,50671060.0,2626286.0,2626286.0,,SABATTUS REGIONAL CREDIT UNION
2,20187390,ST MARYS BANK,% MEREDITH GURALL,PO BOX 990,MANCHESTER,NH,03105-0990,3028,14,9,1000,197611,2,0,251000000,5,1,201912.0,9,9,1,0,12,1045764638.0,184889530.0,53141667.0,,
3,20196520,BELLWETHER COMMUNITY CREDIT UNION,,425 D W HWY,MANCHESTER,NH,03104-2632,3028,14,9,1000,198005,2,0,263000000,1,1,201912.0,9,8,1,0,12,529448434.0,26747314.0,25125740.0,,
4,20219109,NEW HAMPSHIRE POSTAL CREDIT UNION,,955 GOFFS FALLS RD,MANCHESTER,NH,03101-0000,3028,14,9,1000,198005,2,0,922921000,5,1,201912.0,0,0,2,0,12,0.0,0.0,0.0,,
5,20222930,NORTHEAST CREDIT UNION,,100 BORTHWICK AVE,PORTSMOUTH,NH,03801-4115,3028,14,9,1000,197611,2,0,251000000,5,1,201812.0,9,9,1,0,12,1458520888.0,67372338.0,67349152.0,,
6,20223137,TRIANGLE CREDIT UNION,,33 FRANKLIN ST,NASHUA,NH,03064-2639,3028,14,9,1000,197611,2,0,251000000,5,1,201912.0,9,9,1,0,12,721279705.0,55246908.0,32775232.0,,
7,20226828,MEMBERS FIRST CREDIT UNION OF NH,,44 BRIDGE ST,MANCHESTER,NH,03101-1619,3028,14,9,1000,198005,2,0,921000000,1,1,201912.0,9,7,1,0,12,192962528.0,9223653.0,9223653.0,,
8,20227484,GRANITE STATE CREDIT UNION,,PO BOX 6420,MANCHESTER,NH,03108-6420,3028,14,9,1000,197611,2,0,263922921,3,1,201912.0,9,8,1,0,12,433003273.0,28640700.0,28498476.0,,
9,20240752,SERVICE CREDIT UNION,,3003 LAFAYETTE RD,PORTSMOUTH,NH,03801-5904,3028,14,9,1000,197611,2,0,0,5,1,201812.0,9,9,1,0,12,3502730439.0,190179200.0,190069385.0,,
